name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;931;0;977;3085;1834;3085;1811;0
header;158;214;158;250;1810;250;1810;214
A;964;286;964;317;991;317;991;286
A;1147;304;1147;319;1155;319;1155;304
D;1367;651;1367;668;1381;668;1381;651
A;1811;693;1811;698;1816;698;1816;693
A;1607;783;1607;789;1614;789;1614;783
B;975;952;975;983;998;983;998;952
A;1500;1092;1500;1100;1508;1100;1508;1092
A;1008;1267;1008;1267;1009;1267;1009;1267
B;948;1318;948;1331;961;1331;961;1318
B;1808;1318;1808;1333;1822;1333;1822;1318
B;1558;1352;1558;1381;1572;1381;1572;1352
C;983;1586;983;1618;1004;1618;1004;1586
A;1599;1598;1599;1610;1606;1610;1606;1598
A;1618;1721;1618;1733;1630;1733;1630;1721
B;1656;2207;1656;2225;1670;2225;1670;2207
D;986;2243;986;2274;1011;2274;1011;2243
A;1730;2264;1730;2277;1738;2277;1738;2264
B;1819;2388;1819;2401;1830;2401;1830;2388
B;1122;2614;1122;2630;1137;2630;1137;2614
