name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;90;0;206;3089;881;3089;881;0
header;45;177;45;212;1677;212;1677;177
A;841;243;841;275;868;275;868;243
A;175;609;175;616;182;616;182;609
B;842;862;842;895;865;895;865;862
A;666;958;666;985;680;985;680;958
A;637;969;637;974;643;974;643;969
A;216;1067;216;1074;224;1074;224;1067
B;155;1324;155;1341;178;1341;178;1324
C;843;1487;843;1518;865;1518;865;1487
A;552;1538;552;1566;566;1566;566;1538
D;677;1681;677;1701;693;1701;693;1681
D;842;2174;842;2205;867;2205;867;2174
D;453;2306;453;2324;467;2324;467;2306
A;189;2677;189;2691;197;2691;197;2677
B;574;2760;574;2778;593;2778;593;2760
